Equipo,Campeón,Subcampeón,Tercer puesto,Cuarto puesto
BRA Brasil,"5 (1958, 1962, 1970, 1994, 2002)","2 (1950, 1998)","2 (1938, 1978)","2 (1974, 2014)"
GER Alemania,"4 (1954, 1974, 1990, 2014)","4 (1966, 1982, 1986, 2002)","4 (1934, 1970, 2006, 2010)",1 (1958)
ITA Italia,"4 (1934, 1938, 1982, 2006)","2 (1970, 1994)",1 (1990),1 (1978)
ARG Argentina,"3 (1978, 1986, 2022)","3 (1930, 1990, 2014)",,
FRA Francia,"2 (1998, 2018)","2 (2006, 2022)","2 (1958, 1986)",1 (1982)
URU Uruguay,"2 (1930, 1950)",,,"3 (1954, 1970, 2010)"
ENG Inglaterra,1 (1966),,,"2 (1990, 2018)"
ESP España,1 (2010),,,1 (1950)
NED Países Bajos,,"3 (1974, 1978, 2010)",1 (2014),1 (1998)
CZE República Checa,,"2 (1934, 1962)",,
HUN Hungría,,"2 (1938, 1954)",,
SWE Suecia,,1 (1958),"2 (1950, 1994)",1 (1938)
CRO Croacia,,1 (2018),"2 (1998, 2022)",
POL Polonia,,,"2 (1974, 1982)",
AUT Austria,,,1 (1954),1 (1934)
POR Portugal,,,1 (1966),1 (2006)
BEL Bélgica,,,1 (2018),1 (1986)
USA Estados Unidos,,,1 (1930),
CHI Chile,,,1 (1962),
TUR Turquía,,,1 (2002),
SRB Serbia,,,,"2 (1930, 1962)"
RUS Rusia,,,,1 (1966)
BUL Bulgaria,,,,1 (1994)
KOR Corea del Sur,,,,1 (2002)
MAR Marruecos,,,,1 (2022)
